IID	Sex	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG00096	1	-0.0114112	0.0269306	0.0108618	-0.0189618	0.00087999	-0.00156569	-0.0132816	-0.000620899	0.00127708	0.0053035
HG00099	2	-0.0114548	0.0269224	0.0109626	-0.0173603	0.00227063	-0.000629329	-0.0160007	4.45245e-05	-0.0053304	0.00857013
HG00100	2	-0.0112138	0.0271556	0.0107819	-0.0184512	0.000164625	0.000354521	-0.00623623	-0.00102524	-0.00214401	0.00671719
HG00111	2	-0.0113352	0.0268834	0.0102334	-0.0170537	0.00250692	-0.000404061	-0.0165969	-0.00283837	-0.00013541	0.00688654
HG00114	1	-0.011259	0.0265295	0.0109383	-0.0187175	0.0023245	-0.00151658	-0.0137264	-0.0023358	0.00329411	0.00875173
HG00117	1	-0.0116212	0.0267254	0.0106618	-0.0180441	0.00179012	-0.00110361	-0.0142973	-0.00230125	0.00247637	0.00686495
HG00120	2	-0.0114167	0.0271797	0.0108974	-0.019688	0.00263882	-0.000959545	-0.0143021	-0.000862738	-0.00816706	0.00722437
HG00125	2	-0.0112824	0.0268176	0.0110731	-0.0178783	0.00282033	-0.00155508	-0.0161072	-0.00304574	-0.000892957	0.0101961
HG00131	1	-0.0111511	0.0269016	0.00988297	-0.0187593	0.00126532	-0.000286007	-0.0106887	-0.000627811	-0.000464092	0.00598523
HG00139	1	-0.0112549	0.0271215	0.0109578	-0.0196238	0.00279704	-0.0011784	-0.00642641	-0.000370111	0.00171489	0.00587532
HG00141	1	-0.0115101	0.0271023	0.0109166	-0.0184262	0.000528243	-0.00101622	-0.0120598	-0.00194695	-0.00392862	0.00223143
HG00148	1	-0.0114022	0.0272516	0.010507	-0.019064	-0.0011142	0.000107389	-0.0104843	-1.50236e-05	0.00110277	0.00767812
HG00149	1	-0.0111926	0.0274961	0.0119844	-0.0195924	0.000888327	-0.00151683	-0.0113294	0.000131406	-0.00743544	0.00255169
HG00157	1	-0.0112495	0.0268379	0.0111243	-0.0197545	0.0017992	-0.00077113	-0.0124788	-0.000162523	0.000481079	0.00949601
HG00158	2	-0.011202	0.0264499	0.0111496	-0.0174255	0.000160889	-0.00192721	-0.0103509	9.59237e-05	-0.00255782	0.00494795
HG00171	2	-0.0123823	0.0222894	0.0124941	-0.0156355	0.0206271	-0.00635911	-0.0862258	-0.0269091	0.00369658	-0.0107031
HG00173	2	-0.0121949	0.022972	0.0122419	-0.0163024	0.0177936	-0.0047121	-0.0797878	-0.0245619	2.8196e-05	-0.00789062
HG00188	1	-0.0119341	0.0232244	0.0112542	-0.0164807	0.0191835	-0.00412623	-0.0716706	-0.0206735	0.00320801	-0.0076265
HG00190	1	-0.0118472	0.0234471	0.0104976	-0.0168603	0.0130367	-0.00399358	-0.064784	-0.0185662	0.000707578	-0.00476056
HG00235	2	-0.0112181	0.027106	0.010578	-0.0197136	-0.000294162	0.00103945	-0.00718224	-0.00130919	-0.00197993	0.00535398
HG00242	1	-0.0112193	0.0269134	0.0112496	-0.0182014	0.000626246	0.00138505	-0.00740762	-0.00188681	0.00396055	0.00377039
HG00243	1	-0.0114152	0.0272807	0.0102824	-0.0175889	0.00132929	-0.000707298	-0.00901837	-7.75998e-05	-0.00517234	0.00638122
HG00252	1	-0.011476	0.0265636	0.010678	-0.0194297	0.00110812	1.94075e-06	-0.00950919	9.17767e-05	-0.00295277	0.00476546
HG00254	2	-0.0111586	0.0269358	0.0102608	-0.0180592	-0.00332502	0.000208963	-0.00699642	-0.002879	-0.00333293	0.00678905
HG00255	2	-0.0112032	0.026938	0.0109256	-0.0182635	-0.00127948	-0.000448906	-0.00940144	-0.000496732	-5.68348e-05	0.00824044
HG00258	2	-0.0113828	0.0272529	0.0114797	-0.0198572	0.00141402	-0.0009436	-0.00788948	0.00135866	-0.00307912	0.00563635
HG00269	2	-0.0117778	0.0231649	0.0112168	-0.016099	0.0163366	-0.0039982	-0.0854868	-0.0251616	0.00379491	-0.00946073
HG00271	1	-0.0120576	0.021732	0.0111012	-0.0172067	0.0208865	-0.00545322	-0.0945141	-0.0270869	0.00947721	-0.0109917
HG00274	2	-0.0120877	0.0234016	0.0131372	-0.01756	0.0155573	-0.00392099	-0.0702924	-0.0217958	0.00143505	-0.00429687
HG00278	1	-0.0119979	0.022767	0.0109476	-0.0157736	0.0168245	-0.00298267	-0.0825497	-0.0257898	0.00687346	-0.0082363
HG00311	1	-0.0118853	0.0248126	0.0120076	-0.0177577	0.0121642	-0.00318449	-0.0554272	-0.0166518	0.000137867	-0.00315327
HG00313	2	-0.0121001	0.0222724	0.012	-0.0164526	0.018643	-0.00496101	-0.0807251	-0.0245069	0.00684839	-0.0120734
HG00315	2	-0.011956	0.0227366	0.0120842	-0.0158967	0.0163836	-0.00413787	-0.0738455	-0.022605	0.00781198	-0.0054686
HG00321	1	-0.012072	0.0223052	0.0115325	-0.0163548	0.0158254	-0.00463398	-0.0745019	-0.0230111	0.00593616	-0.00411848
HG00323	2	-0.0120347	0.0223206	0.0116502	-0.0171634	0.018509	-0.00579915	-0.0894118	-0.0271361	0.00473161	-0.00763826
HG00324	2	-0.0118759	0.0225652	0.0126567	-0.0166451	0.0196724	-0.00537914	-0.0908348	-0.0284363	0.00772998	-0.0101015
HG00325	1	-0.0123656	0.0214934	0.0125352	-0.0162772	0.0190427	-0.00642636	-0.0917562	-0.0255348	0.000603192	-0.0110917
HG00334	2	-0.0117566	0.0239671	0.0123143	-0.0173257	0.0141499	-0.00446704	-0.0678957	-0.0195019	0.000647672	-0.00500888
HG00336	1	-0.0120846	0.022142	0.0108799	-0.0169898	0.0210438	-0.00324517	-0.0743291	-0.0225947	0.00820403	-0.00997061
HG00338	1	-0.0116483	0.023442	0.0115016	-0.0175129	0.0179881	-0.004007	-0.0799004	-0.0233926	0.0031766	-0.00525402
HG00357	2	-0.0119847	0.0235636	0.0121128	-0.0179025	0.0176956	-0.00469776	-0.0711682	-0.0213504	0.00778681	-0.00868737
HG00360	1	-0.0118315	0.0238859	0.0105812	-0.0172232	0.014627	-0.00461122	-0.0695863	-0.0200691	0.00696618	-0.00803691
HG00365	2	-0.0119847	0.0225778	0.0117433	-0.0163857	0.0204276	-0.00497517	-0.0875254	-0.0272712	0.00266199	-0.00947317
HG00367	2	-0.012142	0.0224425	0.0122214	-0.0165281	0.0156807	-0.00406573	-0.06781	-0.0203045	0.00470845	-0.00487054
HG00368	2	-0.0120279	0.0221198	0.0119236	-0.0163843	0.022126	-0.00658665	-0.0978349	-0.0317083	0.0021778	-0.0125751
